Quadratic DLL - Performance Test
Started : 2026-04-15 23:06:20
Duration: 30 min, sample every 10s
================================================================================

 Elapsed   ProcCPU%   SysCPU%   ProcRAM MB   SysRAM%    Calls/s   AvgLat us   MaxLat us    TotalCalls
   1700s       0.0%     30.8%       23.34     43.0%        0.0        0.00        0.00         1,349
   1710s       0.0%     32.1%       23.38     43.0%        1.6  1250998.50  20015813.00         1,365
   1720s       0.0%     30.6%       23.38     43.0%        0.0        0.00        0.00         1,365
   1730s       0.0%     31.3%       23.41     43.0%        1.6  1250915.12  20014504.00         1,381
   1740s       0.0%     32.9%       23.41     42.9%        0.0        0.00        0.00         1,381
   1750s       0.0%     33.6%       23.45     42.8%        1.6  1251157.99  20018385.70         1,397
   1760s       0.0%     31.4%       23.45     42.8%        0.0        0.00        0.00         1,397
   1770s       0.0%     31.2%       23.48     43.0%        1.6  1250984.27  20015488.40         1,413
   1780s       0.0%     30.6%       23.48     43.1%        0.0        0.00        0.00         1,413
   1790s       0.0%     30.6%       23.62     43.1%        1.6  1252085.89  20033180.90         1,429

================================================================================
FINAL SUMMARY
================================================================================
Test ended  : 2026-04-15 23:36:21
Actual run  : 0:30:01
Total DLL calls  : 1,430

--- CPU ---
  Process avg / peak : 0.0% / 0.2%
  System  avg / peak : 31.9% / 93.2%

--- RAM (process) ---
  avg / peak         : 21.57 MB / 23.62 MB

--- Throughput ---
  avg / peak calls/s : 0.8 / 1.6

--- Latency per DLL call sequence (setA+setB+setC+getSolution) ---
  avg latency        : 1429698.38 us
  worst-case latency : 20033180.90 us

--- Return code distribution ---
  SOLUTION_OK        : 896
  ERROR_A_IS_ZERO    : 163
  ERROR_NO_REAL_ROOTS: 371
  Unexpected / crash : 0
================================================================================
